DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
66897622,0,0,0,0,0,0,0,0,0,0,65,9,241,,73,1,gmail.com,free,470,N/A,upload
66910093,0,0,0,1,0,0,0,0,0,0,58,1,2,,1,1,outlook.com,free,13567,N/A,upload
66910774,0,1,1,0,0,0,0,0,0,0,62,3,33,,26,1,gmail.com,free,2561,pdf,upload
66912328,0,1,1,0,0,0,0,0,0,0,356,116,55,,39,1,gmail.com,free,3934,doc,upload
66917371,0,0,0,1,0,0,1,0,0,0,140,2,1,,0,1,hotmail.com,free,2,N/A,upload
66918955,0,0,0,0,0,0,0,0,0,0,258,70,1615,,1250,1,technavio.com,free,361,N/A,upload
66919156,0,1,1,0,0,0,0,0,0,0,60,5,441,,305,1,gmail.com,free,236,N/A,upload
66920581,0,1,1,0,0,0,0,0,0,0,184,37,144,,65,1,gmail.com,free,626,N/A,upload
66921385,0,0,0,0,0,0,0,0,0,0,302,19,3,,2,1,email.phoenix.edu,free,278,N/A,upload
66921589,0,1,1,0,0,0,0,0,0,0,751,2,4,,0,1,yahoo.com,free,3165,N/A,upload
66922321,0,0,0,0,0,0,0,0,0,0,289,50,65,,31,1,gmail.com,free,498,N/A,upload
66927433,0,1,1,0,0,0,0,0,0,0,57,1,2,,1,1,yahoo.com,free,8994,N/A,upload
66929278,0,1,1,0,0,1,0,0,0,0,355,2,1,,0,1,gmail.com,free,7503,N/A,upload
66930511,0,0,0,0,0,0,0,0,0,0,896,3,2,,1,1,hotmail.com,free,85,N/A,upload
66943831,0,1,1,0,0,0,0,0,1,1,386,193,76,,59,1,studymode.com,free,267807,pdf,dropbox
66961540,0,0,0,0,0,0,0,0,0,0,111,10,13,,7,1,gmail.com,free,445,docx,upload
66961579,0,0,0,0,0,0,0,0,0,0,56,1,1,,0,1,yahoo.com.ph,free,276,docx,upload
66969925,0,0,0,0,0,0,0,0,0,0,56,2,5,,3,1,gmail.com,free,91212,pdf,upload
66975979,0,0,0,0,0,0,0,0,0,0,65,9,241,,95,1,gmail.com,free,513,pdf,upload
66980713,0,0,0,0,0,0,0,0,0,0,748,1,1,,0,1,live.fi,free,1328,pdf,upload
66995914,0,1,1,0,0,0,0,0,0,0,56,1,1,,0,1,hotmail.com,free,838,pdf,dropbox
66996340,0,0,0,1,0,0,0,0,0,0,56,1,1,,0,1,gmail.com,free,705,docx,upload
66997501,0,0,0,0,1,0,0,0,0,0,56,1,1,,0,1,hotmail.com,free,142,docx,upload
66998674,0,0,0,1,0,0,0,0,0,0,56,1,2,,0,1,mail.ru,free,1923,docx,upload
66999745,0,0,0,0,0,0,0,0,0,0,64,3,369,,153,1,gmail.com,free,521,pdf,upload
67002457,0,0,0,0,0,1,0,0,0,0,55,1,1,,0,1,gmail.com,free,257,docx,upload
